id,saleprice
2658,132278.07833515853
2718,175265.14534457028
2414,181692.59331132472
1989,105850.12674697489
625,183428.94483531266
333,97393.77326829359
1327,120015.9123451151
858,153124.42524963617
95,204138.61461745575
1568,149937.02950188518
2482,159977.56088690087
1364,107841.5536473617
2584,149858.4938653782
818,279352.3570211269
2673,168236.73771572486
2089,151453.45405776054
1297,149549.66120701283
790,119788.64890694618
2616,204671.28566730767
720,202761.41633224115
222,144173.8685762994
557,156779.17557169497
1148,241505.71432761475
2766,176955.180382248
534,169880.4304440394
1452,112377.66000583023
630,171209.8317198977
2648,107936.2333698757
125,142054.08036462963
1904,66670.77604981512
1670,122041.07722040638
756,108701.51227165759
717,288230.35038013384
1032,193398.52079143003
852,224949.2414049022
1731,153095.71876130253
2639,145930.39782919735
2071,78687.51225553825
1267,97405.91943738982
1851,189884.50514961407
567,159141.93730774522
2439,250324.93917635083
1898,151533.3884765096
647,182613.86277187243
2256,197382.98720061406
979,134816.2472338006
1444,217424.22992193326
2485,124877.75615544245
157,113547.61518379301
88,140740.15420736372
2003,110449.44287271425
186,169357.57090066
1425,236928.35441108048
2695,125714.30635179579
738,99042.12989759818
395,147013.5246959217
1353,153617.38312337548
1878,141279.89378623292
390,148764.37418217584
1456,245244.8216722384
1103,324287.9413819052
1387,154388.9315471202
2070,165115.75045863912
1199,149948.4520551823
2479,173867.92713581026
501,253052.41378970817
2362,104524.37815144286
1718,217105.32035344467
2188,103449.77836555615
1483,145238.32065353543
2557,87302.92549885437
437,339430.4814684205
2224,188384.61769787967
1628,165136.60060143098
397,155052.45279312134
587,194494.64933442697
971,195318.9971596673
2611,121169.64513529465
1887,85393.79415875301
2399,318157.2461793646
2148,197970.52100024372
304,102682.53888271749
1997,161894.14814881608
2817,115261.32079068571
1431,192849.1851929687
427,405530.76988841966
263,119562.40557576343
598,170424.96250417456
2895,206765.07993908226
687,135662.14885388315
1822,137162.72697400674
2191,101257.67147980258
179,119460.40636303648
1009,170720.13816723228
2010,118503.93082834035
1991,157264.6547807902
1411,169634.96440062672
1721,200830.53689055517
1144,219193.5995307453
593,207228.05688843504
