id,saleprice
2658,130316.38462124637
2718,187071.15335002547
2414,222755.17385591735
1989,115028.62545883522
625,189627.9414206717
333,82687.7354875454
1327,99449.59277809598
858,149847.46830580628
95,195922.05969139817
1568,162169.49011825165
2482,178524.5789108667
1364,120176.43600420601
2584,154995.08488685568
818,291369.8690189274
2673,151279.97211855568
2089,129802.42183708906
1297,167789.20317208045
790,122104.7987993671
2616,197196.46135939832
720,221482.43063400587
222,149135.30553325277
557,116974.57309783809
1148,220994.7642635561
2766,160743.93925043568
534,198413.78282274585
1452,96972.47127872473
630,138609.0859107509
2648,121005.83741800196
125,153258.60587975802
1904,40181.248011697724
1670,91842.4149251947
756,100995.0868839284
717,260590.16135648545
1032,166958.80712153018
852,221358.45234683697
1731,176042.4482910036
2639,114965.71960347082
2071,72707.90050090509
1267,128323.52614486247
1851,203032.68523970945
567,164275.41703235597
2439,230305.434240031
1898,157762.71798273
647,173508.79956853564
2256,236575.99332978437
979,94406.1269930728
1444,234428.2802324891
2485,118204.0306081769
157,116284.01153228106
88,121078.3362953416
2003,97447.17205589655
186,186031.5898075251
1425,252799.02429573797
2695,129042.06388688984
738,101942.71713616233
395,153953.05935944128
1353,169849.34159964463
1878,149863.4316451667
390,160604.78193102893
1456,246579.33153931884
1103,288956.0955616057
1387,139067.94801235816
2070,154730.00734372827
1199,174663.519425633
2479,187774.14869579131
501,295105.514728511
2362,75280.33988638356
1718,207526.9708314184
2188,67880.69571770454
1483,179916.2809130535
2557,73386.13797422085
437,341125.53837726713
2224,196565.3591729718
1628,203238.67132091237
397,134510.39574419148
587,205319.9170753981
971,164214.4404782196
2611,129469.17729290266
1887,95636.04783525388
2399,362960.76305088535
2148,220033.94445038104
304,119704.91798090597
1997,130123.6946636482
2817,141386.66524860903
1431,195197.4742466653
427,361264.47839373926
263,119041.81797530816
598,165868.60880931217
2895,235431.28564771678
687,144322.71009198378
1822,130410.64735267125
2191,92976.49651720253
179,113054.41185710655
1009,221572.50779663754
2010,101403.1620393953
1991,152018.1727924341
1411,167316.13911723043
1721,231946.59285564028
1144,207784.06219653308
593,227515.54009532015
575,307426.1066077861
1249,179010.72431291157
1604,114718.45398188295
1064,429495.5439126273
1923,154751.33371047175
1988,90655.20628798802
2325,175121.6227610315
114,191604.5231642251
2700,182126.98620385694
217,142042.34693172039
343,176103.21954152192
386,236975.96665835206
2005,120644.52375487151
2908,126028.60252471227
1814,239169.90182731015
2446,405152.3783415084
208,174783.87347288377
1679,112217.90888102975
822,354413.7237130583
6,176247.71369208232
1781,382974.09151624277
2397,276747.49963586376
2340,285880.64938159776
1618,151638.18959620426
2843,150894.8221078287
1061,349706.0914102788
2786,103890.50544440903
1935,133985.6586690009
1341,121478.37970140926
521,267272.6070672544
2136,135727.79128347675
996,192433.1499144229
227,152008.34701105545
135,165349.10648187273
1167,157272.9519086894
294,241434.32330239535
1776,202711.4554207141
540,198504.2832153953
1717,207525.67307730694
2303,123840.54877407139
116,184422.01436547004
127,141336.51160811167
1371,138078.1544198605
1014,188152.18452720327
1507,99465.00216723041
702,148576.34843186458
750,146140.85482204572
261,139791.10905754956
1559,60117.442456602585
577,236267.21272164892
2812,212713.48463011027
2080,158048.8876450031
1368,110843.0854420088
2376,121889.7942803622
659,110483.06242245046
1235,121763.26704296307
332,70931.07801767287
1917,140136.62909294368
2094,281957.5551196432
1460,258372.17504895077
1471,206144.09233218676
1509,115367.76163370832
1922,121694.18627131014
433,442667.84782566497
460,311766.1521545811
1116,228095.7521791343
1137,175451.2165326072
53,185140.34255666676
2354,250671.7894756659
1475,207645.37782799953
1761,461966.41757185064
842,135293.97899042827
2739,163118.41851468902
2509,173047.45825194195
1007,222465.87813278998
2610,175911.80734859203
1952,76959.79862014181
2719,173371.6388617314
2921,83632.1865493453
1966,132825.07053857605
292,130688.41744375718
1204,183814.82817853952
1829,254349.87993316998
2419,201274.84583102813
391,163837.54192143492
798,118710.39268912928
481,218985.43636785157
193,212266.34534222074
555,122636.98303106957
899,69966.62425137727
2357,184517.22731276852
328,129202.2182235546
1356,111919.30113616493
1154,106840.48924105125
1730,196545.43743503984
2249,152246.5895894753
1119,264340.4936199536
2856,139354.00686921208
1394,130771.447986877
2587,118460.23189548845
61,303849.083993085
2661,173593.5356270412
2711,116143.22457905672
1147,198091.42245631944
757,142784.74670903734
2623,93644.00720281893
2378,152927.97943458706
1413,133849.84785710863
1722,221611.97895345534
1112,231942.73197496484
1623,187748.25794067868
1201,212877.83521611104
1513,120224.95405281463
957,389297.8516945119
1171,268232.15403285617
1145,210266.86418372154
2726,229107.0662073997
703,155687.100555273
760,107843.98281803803
1964,135290.48874676996
2512,200653.95392010716
159,155196.1417947907
1281,173629.4422565794
468,201929.74250333023
290,135885.25670740096
665,111448.30360620545
1463,262920.68967413646
1792,229709.70333504264
923,131504.2429406125
500,263358.59816884063
1408,151765.20404191426
331,75985.34533266633
170,152784.24752087996
2192,89354.17377190295
2571,305550.950233335
2314,166238.65011961857
2647,93223.62316092133
422,415851.25844274095
2457,342598.8869811406
1838,220522.01170878118
2805,278106.1605133393
1645,165028.82976639713
1711,292412.58094235417
2825,263766.8252251914
322,361730.6536534868
2103,255114.12926560862
342,107629.90231482283
600,112061.7626974362
488,176959.37195902446
1725,336990.34549066855
2246,245699.25794370763
2847,159637.6511133422
806,243890.3423980329
530,235713.97837311344
963,203211.7406005484
2678,88924.11020565272
171,81034.58354237297
2401,404602.00298619975
805,245898.56409247807
2259,209508.52525112743
1748,214185.64252660028
1361,131895.98764476558
1677,116249.68406117958
1406,151318.23835647892
2322,264202.37532981165
688,154103.76730931055
143,136535.5092691704
804,230856.6448629194
1214,161704.4063030593
2828,140070.6208446396
1999,194289.170175931
2467,202093.46662690438
2665,164874.49857366568
1538,289702.2103394318
398,107925.23535899218
2822,142283.2738349199
2157,168110.0742514531
1856,189887.91352017835
1269,109706.61228161678
2570,109321.74457827985
2320,245022.64288977045
1517,123600.75674015848
2304,107412.64242438704
1312,98106.75192581012
2012,129417.92434372875
506,237831.83620654064
2865,200685.85369475075
2367,101836.22573262663
554,93125.50367678434
238,132759.87753543392
1954,99932.58625724987
2488,151239.47304129275
2291,84303.8624882318
1969,99471.406548233
2725,165135.49268083723
1482,179916.2809130535
2763,206803.36810470605
503,250889.4536976018
1584,262706.5447224922
1531,148644.45735457062
2210,171571.18911678396
459,347630.0367103867
556,116769.27137736429
1347,142727.01094876655
1290,71993.92825399255
1388,92700.22296911321
1571,305272.7014741767
2754,211955.72636267915
765,151312.79934058205
2494,111860.74223234464
2870,213806.8716478442
7,221922.6293031613
1114,266269.2912658701
2418,270318.5546438699
291,135341.87338078523
18,336310.6806284243
39,363174.3095498487
1001,268990.3331299818
2442,241187.6680285929
616,138178.16654008342
2680,64653.39601644094
1414,122338.13884163141
289,147007.12649020046
40,242592.60363146116
860,113484.30396953318
409,130808.8520258884
673,140109.5955187052
2427,186592.2323180198
2036,204080.8831701842
2564,143302.9811155381
642,163984.55442745844
1008,189909.05377572362
1908,151962.0760470971
2519,221625.58235001407
1369,87275.9994155718
2855,148160.06169219594
712,84859.59341523176
1943,105570.68285596726
1958,128218.73884171504
